PERFUME,LINHA,GENERO,FAMILIA,PERIODO,OCASIAO,ESTILO,ESTACAO,ORCAMENTO,INTENSIDADE,PRECO,LINK
Botica 214 African Sunrise,BOTICA 214,F,Floral / Cítrico,Versátil,Dia a dia,Versátil,Todas estações,maior que 200,leve/ alta,229.90,https://www.boticario.com.br/botica-214-african-sunrise-floral-frutal-eau-de-parfum-75ml/
Botica 214 Golden,BOTICA 214,F,Amadeirado Floral,Versátil,Dia / Noite,Marcante / Única,Todas estações,maior que 200,leve/ alta,229.90,https://www.boticario.com.br/botica-214-golden-gardenia-eau-de-parfum-75ml/
Botica 214 Verano en Firenze,BOTICA 214,F,Amadeirado Floral,Versátil,Dia / Noite,Marcante / Única,Todas estações,maior que 200,leve/ alta,229.90,https://www.boticario.com.br/botica-214-verano-en-firenze-eau-de-parfum-floral-frutal75-ml/
Botica 214 Sevilla Dorada,BOTICA 214,F,Amadeirado Frutal,Dia,Dia / Noite,Alegre / Leve,Todas estações,maior que 200,leve/ alta,229.90,https://www.boticario.com.br/botica-214-sevilla-dorada-eau-de-parfum-floral-frutal-75ml/
Botica 214 Peônia & Apricot,BOTICA 214,F,Floriental Gourmand,Versátil,Dia / Noite,Divertida / Gourmand,Todas estações,maior que 200,moderada,229.90,https://www.boticario.com.br/botica-214-peonia-e-apricot-eau-de-parfum-75ml-v2/
Botica 214 Fiji Paradise,BOTICA 214,F,Floriental Gourmand,Dia,Dia / Noite,Divertida / Gourmand,Verão / primavera,maior que 200,moderada,229.90,https://www.boticario.com.br/botica-214-fiji-paradise-floral-especiado-eau-de-parfum-75ml/
Boticollection Acqua Fresca,BOTICOLLECTION,F,Floral Frutal,Dia,Dia / Romântico,Doce / Sonhadora,Verão / primavera,menor que 200,leve/ alta,164.90,https://www.boticario.com.br/boticollection-acqua-fresca-desodorante-colonia-100ml/
Boticollection Felicitá,BOTICOLLECTION,F,Floral,Noite,Dia / Romântico,Delicada / Romântica,Inverno / Outono,menor que 200,moderada,164.90,https://www.boticario.com.br/boticollection-felicita-desodorante-colonia-100ml-v2/
Boticollection Crazy Feelings,BOTICOLLECTION,F,Floral,Noite,Dia / Romântico,Delicada / Romântica,Inverno / Outono,menor que 200,moderada,164.90,https://www.boticario.com.br/crazy-feelings-desodorante-colonia-boticollection-100ml/
Boticollection Thaty,BOTICOLLECTION,F,Chypre Floral,Dia,Eventos Formais / Noite,Luxuosa / Marcante,Verão / primavera,menor que 200,leve/ alta,164.90,https://www.boticario.com.br/thaty-desodorante-colonia-boticollection-100ml/
Boticollection Anni,BOTICOLLECTION,F,Floral Frutal,Dia,Dia / Verão,Sofisticada / Moderna,Verão / primavera,menor que 200,leve/ alta,164.90,https://www.boticario.com.br/boticollection-anni-desodorante-colonia-100ml/
Boticollection Cecita,BOTICOLLECTION,F,Floral Frutal,Versátil,Dia / Verão,Sofisticada / Moderna,Todas estações,menor que 200,leve/ alta,164.90,https://www.boticario.com.br/cecita-desodorante-colonia-boticollection-100ml/
Boticollection Free,BOTICOLLECTION,F,Cítrico Amadeirado,Dia,Dia / Verão / Academia,Clássica / Fresca,Verão / primavera,menor que 200,leve/ alta,164.90,https://www.boticario.com.br/free-desodorante-colonia-boticollection-100ml/
Egeo Choc,EGEO,F,Floral,Noite,Dia a dia,Sofisticada / Moderna,Inverno / Outono,menor que 200,leve/ alta,154.90,https://www.boticario.com.br/egeo-choc-desodorante-colonia-90ml-v2/
