PERFUME,LINHA,GENERO,FAMILIA,PERIODO,OCASIAO,ESTILO,ESTACAO,ORCAMENTO,INTENSIDADE,PRECO,LINK
Arbo,ARBO,M,Amadeirado Fresco,Dia,Trabalho / Reuniões / Viagens,Visionário / Sofisticado,Todas estações,menor que 200,alta/ Muito alta,174.90,https://www.boticario.com.br/arbo-desodorante-colonia-100ml-v4/
Arbo Atlântica,ARBO,M,Amadeirado Fresco,Noite,Trabalho / Reuniões / Viagens,Visionário / Sofisticado,Todas estações,menor que 200,alta/ Muito alta,174.90,https://www.boticario.com.br/arbo-atlantica-desodorante-colonia-100ml/
Arbo Botanic,ARBO,M,Amadeirado,Versatil,Trabalho / Reuniões / Viagens,Visionário / Sofisticado,Todas estações,menor que 200,alta/ Muito alta,174.90,https://www.boticario.com.br/arbo-botanic-desodorante-colonia-100ml-v2/
Arbo Forest,ARBO,M,Amadeirado Cítrico,Noite,Trabalho / Reuniões / Viagens,Visionário / Sofisticado,Verão / primavera,menor que 200,alta/ Muito alta,174.90,https://www.boticario.com.br/arbo-forest-desodorante-colonia-100ml/
Arbo Intenso,ARBO,M,Amadeirado Aromático,Noite,Trabalho / Reuniões / Viagens,Visionário / Sofisticado,Todas estações,menor que 200,alta/ Muito alta,184.90,https://www.boticario.com.br/arbo-intenso-desodorante-colonia-100ml/
Arbo Liberté,ARBO,M,Chypre Amadeirado,Noite,Trabalho / Eventos Culturais,Criativo / Culto,Todas estações,menor que 200,moderada,174.90,https://www.boticario.com.br/arbo-liberte-o-boticario-desodorante-colonia-masculino-100ml/
Arbo Puro,ARBO,M,Amadeirado,Noite,Trabalho / Reuniões / Viagens,Caloroso / Elegante,Todas estações,menor que 200,alta/ Muito alta,174.90,https://www.boticario.com.br/arbo-puro-desodorante-colonia-100ml/
Botica 214 Dark Mint,BOTICA 214,M,Chypre Amadeirado,Noite,Trabalho / Eventos Culturais,Criativo / Culto,Todas estações,maior que 200,moderada,229.90,https://www.boticario.com.br/botica-214-dark-mint-eau-de-parfum-90ml-v3/
Botica 214 Fiji Paradise,BOTICA 214,M,Chypre Amadeirado,Dia,Trabalho / Eventos Culturais,Criativo / Culto,Todas estações,maior que 200,moderada,229.90,https://www.boticario.com.br/botica-214-fiji-paradise-fougere-especiado-eau-de-parfum-90ml/
Botica 214 Sevilla Dorada,BOTICA 214,M,Chypre Amadeirado,Dia,Trabalho / Dia a dia,Marcante,Todas estações,maior que 200,alta/ Muito alta,229.90,https://www.boticario.com.br/botica-214-sevilla-dorada-eau-de-parfum-fougere-aromatico-90ml/
Botica 214 Verano en Firenze,BOTICA 214,M,Fougère Amadeirado,Noite,Trabalho / Dia a dia,Explorador,Todas estações,maior que 200,moderada,229.90,https://www.boticario.com.br/botica-214-verano-en-firenze-eau-de-parfum-fougere-aromatico-90ml/
Boticollection Connexion,BOTICOLLECTION,M,Amadeirado Aromático,Dia,Noite / Ocasiões Especiais,Confiante / Líder,Inverno / Outono,menor que 200,alta/ Muito alta,164.90,https://www.boticario.com.br/boticollection-connexion-desodorante-colonia-100ml/
Boticollection Horizonte,BOTICOLLECTION,M,Fougère Verde,Dia,Pós-banho / Dia a dia,Prático / Descomplicado,Verão / primavera,menor que 200,moderada,164.90,https://www.boticario.com.br/b76681-boticollection-horizonte-desodorante-colonia-100ml/
Boticollection Portinari,BOTICOLLECTION,M,Fougère Especiado,Noite,Tarde / Noite de Verão,Sofisticado / Elegante,Verão / primavera,menor que 200,alta/ Muito alta,189.90,https://www.boticario.com.br/boticollection-portinari-desodorante-colonia-100ml/
Boticollection Portinari Absoluto,BOTICOLLECTION,M,Fougère Aromático,Noite,Pós-banho / Dia a dia,Prático / Descomplicado,Verão / primavera,menor que 200,moderada,199.90,https://www.boticario.com.br/boticollection-portinari-absoluto-desodorante-colonia-100ml/
Boticollection Portinari Memórias,BOTICOLLECTION,M,Fougère Aromático,Noite,Pós-banho / Dia a dia,Prático / Descomplicado,Verão / primavera,menor que 200,moderada,189.90,https://www.boticario.com.br/b86081-boticoll-portinari-dcol-memorias-100ml/
Boticollection Styletto,BOTICOLLECTION,M,Fougère Especiado,Dia,Tarde / Noite de Verão,Sofisticado / Elegante,Verão / primavera,menor que 200,alta/ Muito alta,164.90,https://www.boticario.com.br/b76678-boticoll-styletto-des-col-100ml-v3/
Celebre Sua Força,CELEBRE,M,Oriental Amadeirado,Dia,Noite / Ocasiões Especiais,Sensual Intenso,Inverno / Outono,menor que 200,alta/ Muito alta,109.90,https://www.boticario.com.br/celebre-sua-forca-desodorante-colonia-masculino-100ml/
Coffee Addictive Oriental,COFFEE,M,Chypre Amadeirado,Noite,Noite / Ocasiões Especiais,Confiante / Líder,Inverno / Outono,maior que 200,alta/ Muito alta,209.90,https://www.boticario.com.br/coffee-addictive-oriental-aromatico-desodorante-colonia-100ml/
Coffee Man,COFFEE,M,Amadeirado Especiado,Versatil,Noite / Ocasiões Especiais,Misterioso,Inverno / Outono,maior que 200,alta/ Muito alta,209.90,https://www.boticario.com.br/coffee-man-desodorante-colonia-100-ml/
Coffee Man Duo,COFFEE,M,Amadeirado Aromático,Dia,Noite / Ocasiões Especiais,Exclusivo,Inverno / Outono,maior que 200,alta/ Muito alta,209.90,https://www.boticario.com.br/coffee-man-duo-desodorante-colonia-100ml/
Coffee Man Lucky,COFFEE,M,Amadeirado Aromático,Versatil,Noite / Ocasiões Especiais,Confiante / Líder,Inverno / Outono,maior que 200,alta/ Muito alta,209.90,https://www.boticario.com.br/coffee-man-lucky-desodorante-colonia-100ml/
Coffee Man Seduction,COFFEE,M,Amadeirado Ambarado,Dia,Noite / Ocasiões Especiais,Luxuoso / Sedutor,Inverno / Outono,maior que 200,alta/ Muito alta,209.90,https://www.boticario.com.br/coffee-man-seduction-desodorante-colonia-100ml-v2/
